TimeStamp[us],power[w],dop,azimuthal[rad],ellipticity[rad]
-1876299047.0,4.309559e-07,0.9606204,-0.01449024,0.02261238
-1876298165.0,4.350201e-07,0.9613218,0.006067761,0.01765314
-1876297285.0,4.378066e-07,0.9611702,0.02681256,0.01229385
-1876296405.0,4.377729e-07,0.9601908,0.04703499,0.006733667
-1876295525.0,4.364381e-07,0.961116,0.06770767,0.001574222
-1876294647.0,4.311445e-07,0.960114,0.08840324,-0.004068744
-1876293768.0,4.304399e-07,0.9597074,0.1087723,-0.00972471
-1876292889.0,4.345398e-07,0.958483,0.1292036,-0.01526624
-1876292010.0,4.343243e-07,0.9586932,0.149444,-0.02047537
-1876291062.0,4.378223e-07,0.9569846,0.1697952,-0.02540547
-1876290251.0,4.403365e-07,0.956322,0.1900666,-0.03040992
-1876289306.0,4.368728e-07,0.955281,0.2108752,-0.03527415
-1876288428.0,4.350146e-07,0.9540756,0.2308709,-0.03976223
-1876287550.0,4.414845e-07,0.9528518,0.250501,-0.04424339
-1876286673.0,4.468266e-07,0.951392,0.2703129,-0.04891346
-1876285796.0,4.499831e-07,0.9505154,0.2903397,-0.05306679
-1876284851.0,4.53582e-07,0.9486264,0.3105738,-0.05713839
-1876283974.0,4.611081e-07,0.9469132,0.3300858,-0.06113464
-1876283096.0,4.628965e-07,0.945667,0.3505789,-0.06553342
-1876282288.0,4.583371e-07,0.9446396,0.3706062,-0.06948732
-1876281411.0,4.608771e-07,0.9434986,0.3909894,-0.07365035
-1876280537.0,4.69606e-07,0.940992,0.4118592,-0.07808667
-1876279661.0,4.707363e-07,0.939449,0.4322545,-0.08188156
-1876278717.0,4.70448e-07,0.9384138,0.4528572,-0.0858684
-1876277842.0,4.649614e-07,0.9374586,0.473163,-0.08941008
-1876276965.0,4.654316e-07,0.9353934,0.4933394,-0.09258268
-1876276090.0,4.774218e-07,0.93334,0.5138831,-0.09477422
-1876275213.0,4.86828e-07,0.9325934,0.5338355,-0.09691576
-1876274338.0,4.902775e-07,0.9315366,0.5538134,-0.09960928
-1876273397.0,4.850898e-07,0.930164,0.5735117,-0.1015281
-1876272523.0,4.820391e-07,0.9281906,0.5927087,-0.1036887
-1876271647.0,4.809626e-07,0.9277602,0.6117594,-0.1058785
-1876270771.0,4.731011e-07,0.9273354,0.6309008,-0.1076939
-1876269895.0,4.752444e-07,0.9261098,0.6493863,-0.1094021
-1876269018.0,4.845542e-07,0.9248572,0.6687894,-0.1111513
-1876268208.0,5.09966e-07,0.9244742,0.6883681,-0.1134631
-1876267400.0,5.083098e-07,0.9232328,0.7083187,-0.114639
-1876266524.0,5.016106e-07,0.9232414,0.7286262,-0.11531
-1876265648.0,5.082765e-07,0.9215084,0.7486899,-0.1164591
-1876264774.0,5.230844e-07,0.9215608,0.7685369,-0.1172766
-1876263831.0,5.417453e-07,0.9213064,0.7889364,-0.1182817
-1876262956.0,5.413304e-07,0.921376,0.8088058,-0.1193187
-1876262077.0,5.420894e-07,0.9210656,0.8282842,-0.1204658
-1876261201.0,5.431509e-07,0.9208804,0.8477132,-0.1206015
-1876260322.0,5.453029e-07,0.921827,0.8665838,-0.1203309
-1876259444.0,5.4801e-07,0.921561,0.8853616,-0.1204736
-1876258563.0,5.461229e-07,0.9222346,0.9039038,-0.1201169
-1876257752.0,5.351494e-07,0.9222748,0.9226956,-0.1194469
-1876256805.0,5.26328e-07,0.922626,0.941056,-0.1191267
-1876255992.0,5.38182e-07,0.9231738,0.959254,-0.1185981
-1876255111.0,5.503491e-07,0.9240268,0.9769368,-0.1178289
-1876254231.0,5.454489e-07,0.9249444,0.9948038,-0.1165807
-1876253351.0,5.214999e-07,0.9257662,1.011426,-0.114225
-1876252470.0,5.235232e-07,0.9274482,1.028342,-0.1132369
-1876251590.0,5.431397e-07,0.92831,1.045358,-0.1117048
-1876250709.0,5.591491e-07,0.9292494,1.062439,-0.1097275
-1876249894.0,5.477904e-07,0.9304172,1.078959,-0.1080305
-1876249011.0,5.44867e-07,0.9315348,1.095962,-0.1060914
-1876248131.0,5.462124e-07,0.932854,1.111756,-0.1033789
-1876247251.0,5.534859e-07,0.9341016,1.128431,-0.101392
-1876246439.0,5.532161e-07,0.9352038,1.143722,-0.09839968
-1876245558.0,5.574586e-07,0.936633,1.159594,-0.09629374
-1876244678.0,5.618592e-07,0.937381,1.17522,-0.0937807
-1876243796.0,5.767946e-07,0.9385006,1.190811,-0.09113936
-1876242914.0,5.935668e-07,0.9399284,1.205988,-0.08848768
-1876242099.0,5.944753e-07,0.9410596,1.220887,-0.08603766
-1876241219.0,6.035801e-07,0.9425288,1.235149,-0.08288268
-1876240337.0,6.142538e-07,0.9440156,1.249161,-0.07980389
-1876239452.0,6.256905e-07,0.945086,1.26352,-0.07669783
